source,target
pub.1060531022,pub.1060572316
pub.1060531022,pub.1060785213
pub.1060531022,pub.1060783396
pub.1060531007,pub.1017101813
pub.1060531007,pub.1060437772
pub.1060531007,pub.1047493459
pub.1060531007,pub.1060524291
pub.1060530756,pub.1060785408
pub.1060530530,pub.1060437772
pub.1060530530,pub.1039060951
pub.1060530530,pub.1014572975
pub.1060530530,pub.1060435581
pub.1060530525,pub.1060521421
pub.1060530525,pub.1060429406
pub.1060530525,pub.1060529185
pub.1060530525,pub.1060786235
pub.1060530525,pub.1060524469
pub.1060530525,pub.1060527730
pub.1060530148,pub.1060427198
pub.1060530148,pub.1060629063
pub.1060530148,pub.1012002888
pub.1060530148,pub.1060525285
pub.1060530148,pub.1060786050
pub.1060530136,pub.1060437772
pub.1060530136,pub.1013194274
pub.1060530136,pub.1060779417
pub.1060530136,pub.1060775947
pub.1060529541,pub.1060528356
pub.1060529541,pub.1060521573
pub.1060529541,pub.1060428471
pub.1060529520,pub.1060784833
pub.1060529520,pub.1060781639
pub.1060529520,pub.1028681795
pub.1060529520,pub.1060786191
pub.1060529520,pub.1060783489
pub.1060529520,pub.1060786151
pub.1060529520,pub.1026119851
pub.1060529520,pub.1039015659
pub.1060529520,pub.1060785564
pub.1060529520,pub.1060524469
pub.1060529213,pub.1060528356
pub.1060529213,pub.1060428471
pub.1060529185,pub.1060524469
pub.1060529185,pub.1013194274
pub.1060529185,pub.1060781639
pub.1060529185,pub.1060786235
pub.1060529185,pub.1039714950
pub.1060529159,pub.1060421010
pub.1060529159,pub.1060437772
pub.1060529159,pub.1060433362
pub.1060529159,pub.1060520605
pub.1060528593,pub.1060519380
pub.1060528593,pub.1060439896
pub.1060528593,pub.1060437772
pub.1060528593,pub.1060780358
pub.1060528593,pub.1038523677
pub.1060528593,pub.1060527593
pub.1060528593,pub.1060785213
pub.1060528593,pub.1060526473
pub.1060528591,pub.1060785737
pub.1060528591,pub.1060785736
pub.1060528591,pub.1060429406
pub.1060528356,pub.1060428471
pub.1060528356,pub.1060521573
pub.1060528337,pub.1043095504
pub.1060528337,pub.1060775947
pub.1060528337,pub.1060784109
pub.1060528337,pub.1060774496
pub.1060528337,pub.1060437772
pub.1060528337,pub.1060522412
pub.1060528337,pub.1060527780
pub.1060528337,pub.1060520605
pub.1060528337,pub.1060783259
pub.1060528337,pub.1060522544
pub.1060528333,pub.1060524636
pub.1060528333,pub.1060521823
pub.1060527992,pub.1059081527
pub.1060527992,pub.1060629323
pub.1060527992,pub.1032176292
pub.1060527992,pub.1060784109
pub.1060527850,pub.1060429029
pub.1060527850,pub.1060523505
pub.1060527780,pub.1060775947
pub.1060527780,pub.1060784109
pub.1060527780,pub.1060520605
pub.1060527780,pub.1060435581
pub.1060527780,pub.1063131508
pub.1060527780,pub.1060783259
pub.1060527780,pub.1046718044
pub.1060527780,pub.1060437772
pub.1060527780,pub.1060522544
pub.1060527780,pub.1060522412
pub.1060527780,pub.1060782521
pub.1060527733,pub.1060781596
pub.1060527733,pub.1060775947
pub.1060527733,pub.1046718044
pub.1060527733,pub.1060437772
pub.1060527730,pub.1060781596
pub.1060527730,pub.1060782929
pub.1060527730,pub.1060429029
pub.1060527730,pub.1039714950
pub.1060527593,pub.1060776058
pub.1060527593,pub.1060525285
pub.1060527593,pub.1050270268
pub.1060527593,pub.1060783853
pub.1060527593,pub.1060526473
pub.1060527593,pub.1060780358
pub.1060527398,pub.1013194274
pub.1060527398,pub.1060776058
pub.1060527398,pub.1060773159
pub.1060527398,pub.1008502128
pub.1060527398,pub.1060520605
pub.1060527398,pub.1017101813
pub.1060527398,pub.1060437772
pub.1060527395,pub.1060441680
pub.1060527395,pub.1060629205
pub.1060526694,pub.1039060951
pub.1060526694,pub.1060778888
pub.1060526694,pub.1060521421
pub.1060526473,pub.1060525285
pub.1060526473,pub.1060439896
pub.1060526473,pub.1028760756
pub.1060526473,pub.1060519951
pub.1060526473,pub.1060783057
pub.1060526473,pub.1060644176
pub.1060526473,pub.1057732992
pub.1060526473,pub.1060776058
pub.1060526473,pub.1060520605
pub.1060526197,pub.1039060951
pub.1060526197,pub.1060424888
pub.1060526197,pub.1060437772
pub.1060526197,pub.1060443223
pub.1060526197,pub.1060772384
pub.1060526197,pub.1060771512
pub.1060526197,pub.1060441369
pub.1060526197,pub.1060439067
pub.1060525285,pub.1017101813
pub.1060525285,pub.1028760756
pub.1060525285,pub.1032176292
pub.1060525285,pub.1060523406
pub.1060525285,pub.1060520605
pub.1060525279,pub.1060592488
pub.1060525279,pub.1040193982
pub.1060525279,pub.1060521823
pub.1060525279,pub.1043891249
pub.1060525279,pub.1029609788
pub.1060525279,pub.1060535377
pub.1060525279,pub.1060427483
pub.1060524682,pub.1060423640
pub.1060524682,pub.1057732992
pub.1060524682,pub.1060572171
pub.1060524636,pub.1060521823
pub.1060524469,pub.1060781639
pub.1060524469,pub.1060781596
pub.1060524469,pub.1039060951
pub.1060524291,pub.1060437772
pub.1060524291,pub.1047493459
pub.1060524291,pub.1060535377
pub.1060524223,pub.1060520605
pub.1060524223,pub.1060523431
pub.1060524223,pub.1060775947
pub.1060524223,pub.1060519004
pub.1060524223,pub.1060781969
pub.1060524133,pub.1060774194
pub.1060524133,pub.1047493459
pub.1060524133,pub.1060428580
pub.1060524133,pub.1060437772
pub.1060523759,pub.1060535251
pub.1060523759,pub.1060437772
pub.1060523505,pub.1060520605
pub.1060523431,pub.1060520605
pub.1060523431,pub.1011069686
pub.1060523431,pub.1060779417
pub.1060523431,pub.1035801402
pub.1060523431,pub.1060521672
pub.1060523431,pub.1060775947
pub.1060523431,pub.1029339151
pub.1060523431,pub.1060519004
pub.1060523431,pub.1059084234
pub.1060523431,pub.1060781969
pub.1060523431,pub.1060437772
pub.1060523406,pub.1017101813
pub.1060523406,pub.1031596324
pub.1060523406,pub.1060778544
pub.1060523393,pub.1060776249
pub.1060523393,pub.1060775873
pub.1060523393,pub.1060437772
pub.1060523393,pub.1060629323
pub.1060522544,pub.1060437772
pub.1060522544,pub.1060777896
pub.1060522544,pub.1060780358
pub.1060522544,pub.1060644176
pub.1060522544,pub.1059084234
pub.1060522544,pub.1060424888
pub.1060522544,pub.1060426320
pub.1060522544,pub.1060442900
pub.1060522544,pub.1060629323
pub.1060522544,pub.1060779417
pub.1060522544,pub.1060520605
pub.1060522544,pub.1060775947
pub.1060522412,pub.1060775947
pub.1060522412,pub.1059084234
pub.1060522412,pub.1060779417
pub.1060522412,pub.1060777896
pub.1060522412,pub.1060443223
pub.1060522412,pub.1060521672
pub.1060522412,pub.1060437772
pub.1060522304,pub.1060778888
pub.1060522304,pub.1058008545
pub.1060522204,pub.1060520993
pub.1060522204,pub.1060628906
pub.1060522204,pub.1060780010
pub.1060522204,pub.1060776058
pub.1060521853,pub.1060535251
pub.1060521853,pub.1060518869
pub.1060521823,pub.1060425535
pub.1060521823,pub.1040193982
pub.1060521823,pub.1060421284
pub.1060521823,pub.1060521128
pub.1060521823,pub.1060592488
pub.1060521672,pub.1060644176
pub.1060521672,pub.1060442900
pub.1060521672,pub.1060775947
pub.1060521672,pub.1013940018
pub.1060521672,pub.1060437772
pub.1060521672,pub.1060550584
pub.1060521672,pub.1060779417
pub.1060521672,pub.1060424888
pub.1060521672,pub.1060780358
pub.1060521672,pub.1060777896
pub.1060521672,pub.1060520605
pub.1060521573,pub.1039060951
pub.1060521421,pub.1016604408
pub.1060521421,pub.1060778216
pub.1060521421,pub.1060838802
pub.1060521421,pub.1060432810
pub.1060521421,pub.1060437772
pub.1060521131,pub.1007373433
pub.1060521131,pub.1049401911
pub.1060521131,pub.1050022101
pub.1060521131,pub.1060428471
pub.1060521131,pub.1060609974
pub.1060521131,pub.1060424888
pub.1060521128,pub.1060431529
pub.1060521128,pub.1060518869
pub.1060521128,pub.1060439067
pub.1060520993,pub.1060442900
pub.1060520993,pub.1060776249
pub.1060520993,pub.1060838802
pub.1060520993,pub.1060437772
pub.1060520605,pub.1049401911
pub.1060520605,pub.1008502128
pub.1060520605,pub.1060775947
pub.1060520605,pub.1060519380
pub.1060520605,pub.1060442900
pub.1060520605,pub.1060629323
pub.1060520605,pub.1060437772
pub.1060520605,pub.1058968116
pub.1060520605,pub.1060433362
pub.1060520605,pub.1059084234
pub.1060520605,pub.1060771677
pub.1060520605,pub.1039060951
pub.1060520605,pub.1060773159
pub.1060520411,pub.1060592608
pub.1060520411,pub.1040245383
pub.1060520411,pub.1060777015
pub.1060520411,pub.1060629323
pub.1060520411,pub.1060437772
pub.1060520411,pub.1060628906
pub.1060520411,pub.1060775873
pub.1060519951,pub.1060778544
pub.1060519951,pub.1057732992
pub.1060519951,pub.1013682525
pub.1060519951,pub.1038523677
pub.1060519380,pub.1008502128
pub.1060519380,pub.1060592608
pub.1060519380,pub.1060437772
pub.1060519380,pub.1060776249
pub.1060519380,pub.1060572171
pub.1060519380,pub.1060526197
pub.1060519303,pub.1060777193
pub.1060519303,pub.1029609788
pub.1060519303,pub.1060518025
pub.1060519004,pub.1011069686
pub.1060518869,pub.1060592445
pub.1060518869,pub.1060773125
pub.1060518869,pub.1060535251
pub.1060518869,pub.1060628906
pub.1060518869,pub.1060435180
pub.1060518862,pub.1060773159
pub.1060518862,pub.1060428458
pub.1060518025,pub.1029609788
pub.1060518025,pub.1060772384
pub.1060518025,pub.1060437772
pub.1060518025,pub.1060437346
pub.1060518025,pub.1060771558
pub.1060518025,pub.1060771511
pub.1060518025,pub.1060437562
pub.1060518025,pub.1060771512
pub.1060443223,pub.1060420047
pub.1060443223,pub.1060437772
pub.1060443223,pub.1039060951
pub.1060443223,pub.1060771677
pub.1060443223,pub.1060439067
pub.1060443223,pub.1060424888
pub.1060443223,pub.1060422527
pub.1060442902,pub.1060436786
pub.1060442902,pub.1060771558
pub.1060442902,pub.1060771511
pub.1060442902,pub.1060441338
pub.1060442902,pub.1039060951
pub.1060442902,pub.1060437772
pub.1060442900,pub.1060426320
pub.1060442900,pub.1060437772
pub.1060442900,pub.1060420047
pub.1060441887,pub.1060433362
pub.1060441887,pub.1060437346
pub.1060441680,pub.1029609788
pub.1060441680,pub.1060771512
pub.1060441680,pub.1039060951
pub.1060441680,pub.1060425535
pub.1060441444,pub.1060426320
pub.1060441369,pub.1060771558
pub.1060441338,pub.1060428562
pub.1060441338,pub.1060424888
pub.1060441338,pub.1060436786
pub.1060440197,pub.1039060951
pub.1060440197,pub.1043148504
pub.1060440197,pub.1060428199
pub.1060439900,pub.1039060951
pub.1060439900,pub.1060424888
pub.1060439900,pub.1060422527
pub.1060439896,pub.1039060951
pub.1060439896,pub.1060439900
pub.1060439067,pub.1039060951
pub.1060439067,pub.1060422527
pub.1060439067,pub.1060433362
pub.1060439067,pub.1060431529
pub.1060437772,pub.1060428605
pub.1060437772,pub.1039060951
pub.1060437772,pub.1060424888
pub.1060437772,pub.1060433362
pub.1060437772,pub.1060422527
pub.1060437562,pub.1039060951
pub.1060437346,pub.1060422866
pub.1060437346,pub.1029609788
pub.1060437346,pub.1039060951
pub.1060437346,pub.1060423899
pub.1060437346,pub.1060435180
pub.1060437346,pub.1060423121
pub.1060437093,pub.1060429406
pub.1060436786,pub.1039060951
pub.1060436786,pub.1060428562
pub.1060435800,pub.1039060951
pub.1060435800,pub.1060421075
pub.1060435581,pub.1060428458
pub.1060435581,pub.1039060951
pub.1060435581,pub.1060430034
pub.1060435581,pub.1063131508
pub.1060435581,pub.1060431605
pub.1060435180,pub.1060428605
pub.1060435180,pub.1060429403
pub.1060435180,pub.1060429860
pub.1060435180,pub.1060429406
pub.1060435180,pub.1060430035
pub.1060434677,pub.1060432810
pub.1060434677,pub.1060423640
pub.1060434677,pub.1060426320
pub.1060434220,pub.1060424779
pub.1060434220,pub.1039060951
pub.1060434220,pub.1060421010
pub.1060433535,pub.1060427483
pub.1060433535,pub.1060417590
pub.1060433535,pub.1060423121
pub.1060433535,pub.1060428458
pub.1060433535,pub.1029609788
pub.1060433535,pub.1039060951
pub.1060433362,pub.1060427483
pub.1060433362,pub.1060428605
pub.1060433362,pub.1060464013
pub.1060433362,pub.1060424888
pub.1060433362,pub.1060422527
pub.1060433362,pub.1060425535
pub.1060433362,pub.1039060951
